"","seg","x","y","z","a","g","h"
"1",1,0.0138186469639074,0,0,0,1.0299,1.0233
"2",2,0.0129549815286632,0,0.0013923173583554,0.000696158679177702,1.0299,1.0233
"3",3,0.012091316093419,0,0.00127095927779523,0.000635479638897614,1.0299,1.0233
"4",4,0.0112276506581748,0,0.00126272378689595,0.000631361893447973,1.0299,1.0233
"5",5,0.0103639852229306,0,0.00132204974077377,0.000661024870386887,1.0299,1.0233
"6",6,0.00950031978768637,0,0.00140183581785946,0.000700917908929731,1.0299,1.0233
"7",7,0.00863665435244214,0,0.00152527252739334,0.00076263626369667,1.0299,1.0233
"8",8,0.00777298891719794,0,0.00165858056489415,0.000829290282447073,1.0299,1.0233
"9",9,0.00690932348195372,0,0.0017837230584952,0.000891861529247601,1.0299,1.0233
"10",10,0.00604565804670951,0,0.00189318457803076,0.000946592289015381,1.0299,1.0233
"11",11,0.00518199261146529,0,0.00198559884200472,0.000992799421002361,1.0299,1.0233
"12",12,0.00431832717622108,0,0.00209752952395236,0.00104876476197618,1.0299,1.0233
"13",13,0.00345466174097686,0,0.00220253237750952,0.00110126618875476,1.0299,1.0233
"14",14,0.00259099630573265,0,0.00231184902813108,0.00115592451406554,1.0299,1.0233
"15",15,0.00172733087048843,0,0.0023881871502268,0.0011940935751134,1.0299,1.0233
"16",16,0.000863665435244219,0,0.00244034711539033,0.00122017355769516,1.0299,1.0233
"17",17,0,0,0.00224364526808974,0.00112182263404487,1.0299,1.0233
