"step","shape","aspect_ratio","target_aspect_ratio","frequency","sigma_bs","TS"
1,"Sphere",1,7,38000,9.90334592265499e-05,-40.0421805083224
1,"Sphere",1,7,70000,9.4398817722326e-05,-40.2503344489563
2,"ProlateSpheroid",1.85714285714286,7,38000,0.000218051048740873,-36.6144182019772
2,"ProlateSpheroid",1.85714285714286,7,70000,0.000212463866695998,-36.7271491892596
3,"ProlateSpheroid",2.71428571428571,7,38000,0.000367421942085619,-34.3483491160626
3,"ProlateSpheroid",2.71428571428571,7,70000,0.000353514541717248,-34.5159271692319
4,"ProlateSpheroid",3.57142857142857,7,38000,0.000538897472813692,-32.6849385304462
4,"ProlateSpheroid",3.57142857142857,7,70000,0.00051303402481462,-32.89853831186
5,"ProlateSpheroid",4.42857142857143,7,38000,0.000727606681682173,-31.3810332142222
5,"ProlateSpheroid",4.42857142857143,7,70000,0.000687819240404133,-31.6252567980148
6,"ProlateSpheroid",5.28571428571429,7,38000,0.000931590550543447,-30.3077492531946
6,"ProlateSpheroid",5.28571428571429,7,70000,0.0008770831120874,-30.5695925109154
7,"ProlateSpheroid",6.14285714285714,7,38000,0.00114744999216854,-29.4026623267393
7,"ProlateSpheroid",6.14285714285714,7,70000,0.00108080687152433,-29.6625190283168
8,"ProlateSpheroid",7,7,38000,0.00137273911260185,-28.6241199205908
8,"ProlateSpheroid",7,7,70000,0.00129887282636421,-28.8643336895162
